id,interest_rate,internal_rating,maturity,dti_ratio,risk_free,yearly_payment
47,5.44,AA,5,20,1.72,2755.92
48,9.76,B,5,45,1.72,5872.56
49,19.95,D,3,16,1.72,6486
50,5.9,AA,3,18,1.72,3144.84
51,5.76,AA,3,36,1.72,5538.12
52,7.96,A,3,19,1.72,9534.36
53,6.5,A,3,24,1.72,3172.8
54,17.43,C,3,46,1.72,4364.16
55,9.09,A,5,45,1.72,13569.96
56,8.66,A,3,26,1.72,1926.48
57,17.69,C,3,19,1.72,6153.96
58,12.15,B,3,14,1.72,2739.6
59,12.65,B,5,14,1.72,8161.92
60,30.92,HR,3,52,1.72,3915.96
61,27.8,E,3,48,1.72,2507.76
62,19.13,D,5,47,1.72,6701.4
63,5,AA,3,10,1.72,7301.28
64,4.32,AA,5,30,1.72,3252.36
65,19.13,D,5,18,1.72,7013.52
66,14.72,C,3,12,1.72,6303.36
67,15.18,C,3,40,1.72,2343.72
68,5.9,AA,5,30,1.72,4740.96
69,30.25,HR,5,53,1.72,3105.96
70,6.51,AA,3,37,1.72,6719.88
71,21.42,D,5,41,1.72,6685.92
72,23.05,D,3,17,1.72,5183.4
73,5.13,AA,3,12,1.72,2560.44
74,23.21,E,3,32,1.72,5200.2
75,8.42,A,5,1,1.72,9598.68
76,30.24,E,5,26,1.72,5176.08
77,7.51,A,3,43,1.72,13260.36
78,12.19,B,3,25,1.72,1371
79,11.1,B,5,24,1.72,2140.32
80,9.1,B,3,24,1.72,3102.12
81,6.74,A,3,27,1.72,5619
82,30.28,HR,5,53,1.72,3884.04
83,5.44,AA,3,6,1.72,2572.2
84,29.45,HR,3,24,1.72,2049.48
85,12.19,B,5,26,1.72,8774.52
86,4.32,AA,5,27,1.72,4336.56
87,6.74,A,3,33,1.72,5619
88,6.66,A,3,19,1.72,4489.92
89,13.25,C,5,31,1.72,7019.4
90,21.48,D,5,16,1.72,922.56
91,11,B,5,60,1.72,5978.52
92,18.73,D,3,30,1.72,2370.96
93,18.24,C,3,46,1.72,6619.92
94,30.92,HR,3,28,1.72,2871.72
95,12.65,B,3,7,1.72,3060.72
96,6.49,A,3,28,1.72,7464.36
97,6.12,AA,3,34,1.72,7423.68
98,9.47,A,3,34,1.72,3866.28
99,6.12,AA,3,6,1.72,6681.36
100,18.28,D,5,32,1.72,3131.4
101,18.73,D,3,28,1.72,3003.24
102,18.14,C,3,12,1.72,2203.56
103,29.49,E,3,37,1.72,6151.68
104,20.66,D,5,51,1.72,5474.16
105,10.7,B,5,15,1.72,5952.84
106,14.8,C,5,41,1.72,5229.72
107,13.19,C,5,29,1.72,2243.16
108,30.92,HR,5,28,1.72,1044.24
109,29.38,E,5,8,1.72,5119.2
110,10.98,B,3,12,1.72,4002.24
111,14.45,C,3,17,1.72,4186.32
112,8.35,A,3,13,1.72,1342.44
113,19.99,D,3,24,1.72,9040.8
114,24.99,D,3,24,1.72,3867.36
115,15.73,C,3,61,1.72,7671.96
116,5,AA,3,24,1.72,7301.28
117,30.92,HR,3,28,1.72,3915.96
118,22.1,D,3,35,1.72,3389.76
119,10.7,B,5,31,1.72,1587.36
120,7.6,A,5,44,1.72,13277.88
121,5.13,AA,3,27,1.72,1828.8
122,27.93,E,3,57,1.72,5705.88
123,15.77,C,3,61,1.72,5934.96
124,27.8,E,3,24,1.72,3794.4
125,7.51,A,3,36,1.72,5682.96
126,28.74,E,3,25,1.72,2047.56
127,6.91,A,5,29,1.72,3755.4
128,11.36,B,3,44,1.72,4807.68
129,17.15,C,3,26,1.72,4585.56
130,8.66,A,3,42,1.72,3111.24
131,18.73,D,3,14,1.72,2221.56
132,10.59,B,3,12,1.72,1983.36
133,6.51,AA,3,14,1.72,2239.92
134,19.99,D,3,37,1.72,6491.4
135,5.76,AA,3,12,1.72,3692.04
136,11.03,B,3,23,1.72,2791.2
137,16.22,C,5,24,1.72,15020.16
138,11.1,B,3,16,1.72,2394.84
139,12.75,C,3,36,1.72,5553.36
140,5.31,AA,5,14,1.72,4401
141,15.77,C,5,45,1.72,5934.96
142,6.91,A,3,34,1.72,4506.48
143,10.3,B,3,16,1.72,5918.52
144,11.03,B,5,18,1.72,2270.52
145,13.97,C,3,43,1.72,2702.76
146,11.64,B,3,16,1.72,5416.56
147,27.48,HR,3,20,1.72,2996.88
148,10.25,B,5,25,1.72,1577.16
149,14.72,C,3,21,1.72,8701.08
150,11.36,B,5,32,1.72,1602.6
151,7.51,A,5,35,1.72,6819.6
152,8.06,A,3,20,1.72,1527.72
153,20.54,D,5,41,1.72,10019.52
154,8.06,A,3,33,1.72,3819.36
155,11.03,B,3,19,1.72,3189.96
156,7.96,A,5,13,1.72,2669.64
157,30.53,HR,3,50,1.72,3896.4
158,18.14,C,3,30,1.72,11018.04
159,18.99,C,3,27,1.72,3178.56
160,12.65,B,3,11,1.72,2040.48
161,23.99,D,3,61,1.72,3339.36
162,8.74,A,3,21,1.72,1928.76
163,17.08,C,3,29,1.72,6104.88
164,8.7,A,3,36,1.72,1927.56
165,30.92,HR,3,13,1.72,1044.24
166,30.53,HR,5,26,1.72,3845.04
167,8.74,A,3,12,1.72,1542.96
168,8.06,A,3,20,1.72,3819.36
169,14.93,C,3,56,1.72,3371.76
170,17.69,C,5,28,1.72,4638.6
171,15.29,C,5,24,1.72,2936.64
172,10.3,B,3,11,1.72,3914.64
173,24.99,D,5,39,1.72,7184.28
174,16.04,C,5,37,1.72,6421.08
175,20.85,D,3,15,1.72,3201.48
176,18.99,C,5,30,1.72,3178.56
177,20.85,D,3,28,1.72,9147.12
178,6.74,A,3,25,1.72,7491.96
179,20.66,D,5,18,1.72,6582.24
180,5.76,AA,5,15,1.72,4430.52
181,6.66,A,3,34,1.72,6734.88
182,8.7,A,3,14,1.72,3238.32
183,7.51,A,3,22,1.72,3788.64
184,25.62,E,3,42,1.72,7311.84
185,18.81,C,3,55,1.72,7916.52
186,15.4,C,5,4,1.72,3606.24
187,13.64,C,5,8,1.72,3310.92
188,12.19,B,5,43,1.72,1013.52
189,19.99,D,3,16,1.72,11301
190,8.66,A,5,12,1.72,3852.96
191,30.09,HR,3,16,1.72,3874.56
192,24.74,D,3,42,1.72,4818.24
193,25.59,E,3,25,1.72,1999.2
194,16.55,C,5,26,1.72,7997.52
195,19.99,D,3,40,1.72,2712.24
196,17.69,C,3,38,1.72,7731.12
197,4.32,AA,3,19,1.72,2412.96
198,17.08,C,3,31,1.72,4578.6
199,5.13,AA,3,20,1.72,1828.8
200,13.25,C,3,24,1.72,2246.16
201,11.36,B,5,8,1.72,6009.6
202,22.1,D,3,17,1.72,2325.72
203,13.19,C,3,35,1.72,14393.4
204,5.76,AA,3,18,1.72,2953.68
205,14.15,C,3,47,1.72,1667.52
206,8.42,A,3,30,1.72,3773.28
207,5.9,AA,3,20,1.72,3814.08
208,23.74,D,5,41,1.72,5956.56
209,11.1,B,5,18,1.72,798.24
210,19.95,D,5,48,1.72,4864.56
211,20.61,D,3,21,1.72,4931.52
212,19.91,D,3,33,1.72,6480.72
213,6.5,A,3,41,1.72,8361.36
214,6.36,AA,5,33,1.72,5587.56
215,20.54,D,5,31,1.72,6565.92
216,19.99,D,5,29,1.72,8114.28
217,20.61,D,3,12,1.72,4931.52
218,6.12,AA,5,44,1.72,3711.84
219,9.47,A,3,23,1.72,5847.84
220,30.25,HR,5,34,1.72,3753.12
221,8.7,A,5,11,1.72,2313.12
222,9.86,B,3,41,1.72,11762.04
223,15.18,C,3,16,1.72,845.88
224,7.2,A,3,18,1.72,7542.84
225,10.2,B,3,28,1.72,13790.04
226,20.85,D,5,40,1.72,1326.36
227,23.99,D,3,34,1.72,8803.68
228,16.45,C,3,44,1.72,9471.6
229,6.91,A,3,31,1.72,13143.84
230,9.1,B,3,55,1.72,7755.36
231,7.51,A,3,23,1.72,1970.16
232,8.46,A,3,11,1.72,2881.32
233,17.23,C,5,22,1.72,4593.36
234,24.08,E,3,23,1.72,3821.04
235,20.85,D,3,25,1.72,2286.72
236,24.08,E,3,27,1.72,4776.24
237,14.05,C,3,17,1.72,2497.68
238,11.1,B,3,13,1.72,4191
239,17.23,C,3,33,1.72,3481.68
240,26.99,E,3,35,1.72,1494.24
241,9.1,B,5,12,1.72,3808.08
242,5.98,AA,3,5,1.72,1481.64
243,8.06,A,3,17,1.72,5728.92
244,25.59,E,3,5,1.72,1781.04
245,14.72,C,5,11,1.72,4202.28
246,16.35,C,5,27,1.72,2149.68
247,30.25,HR,3,15,1.72,3882.48
248,22.05,D,3,50,1.72,3718.68
249,22.12,D,5,27,1.72,5086.68
250,5.9,AA,3,20,1.72,2220.24
251,9.76,B,3,40,1.72,1566
252,10.25,B,5,25,1.72,1182.84
253,6.2,A,3,21,1.72,1858.08
254,5.13,AA,3,21,1.72,4389.24
255,22.99,D,3,23,1.72,2070.84
256,11.59,B,3,13,1.72,2411.76
257,24.99,D,3,17,1.72,3879.48
258,24.99,D,3,26,1.72,12085.56
259,12.35,B,3,48,1.72,812.76
260,15.77,C,3,15,1.72,6396.96
261,6.74,A,5,42,1.72,7491.96
262,15.93,C,3,15,1.72,4060.44
263,6.51,AA,5,21,1.72,9333.24
264,5.76,AA,3,31,1.72,3433.68
265,22.99,D,5,24,1.72,8628.6
266,17.23,C,3,49,1.72,8704.32
267,19.99,D,5,32,1.72,6491.4
268,7.51,A,3,30,1.72,3788.64
269,23.74,D,3,38,1.72,3503.88
270,29.77,HR,3,37,1.72,3087
271,27.93,E,3,16,1.72,2662.68
272,9.09,A,3,33,1.72,2714.04
273,14.69,C,3,13,1.72,6300.72
274,11.64,B,5,34,1.72,2413.44
275,15.77,C,3,7,1.72,5934.96
276,5.13,AA,3,19,1.72,2560.44
277,30.24,E,5,27,1.72,3974.28
278,7.32,A,3,9,1.72,4903.2
279,26.95,E,5,32,1.72,5598.96
280,18.47,D,3,38,1.72,3099.12
281,10.25,B,5,36,1.72,13800
282,6.5,AA,3,10,1.72,2612.88
283,5.3,AA,5,13,1.72,4033.68
284,26.99,E,5,18,1.72,5603.4
285,18.28,D,5,26,1.72,6262.8
286,5.9,AA,3,17,1.72,1849.92
287,9.09,A,3,39,1.72,6978.84
288,15.4,C,3,57,1.72,4666.8
289,30.92,HR,3,48,1.72,2349.6
290,6.91,A,3,8,1.72,1689.96
291,23.99,D,3,31,1.72,1908.24
292,22.99,D,5,24,1.72,5177.16
293,18.81,C,5,12,1.72,6672
294,25.59,E,3,54,1.72,7308.96
295,7.2,A,3,13,1.72,1955.76
296,5.9,AA,3,49,1.72,7399.56
297,9.47,A,3,39,1.72,5847.84
298,16.7,C,3,31,1.72,4541.52
299,11.36,B,3,23,1.72,2403.84
300,6.51,AA,3,17,1.72,3733.32
301,30.25,HR,3,29,1.72,3882.48
302,17.69,C,5,14,1.72,6569.88
303,5.44,AA,5,10,1.72,2902.92
304,9.47,A,3,17,1.72,3898.56
305,20.66,D,3,30,1.72,3291.12
306,9.09,A,3,16,1.72,5427.96
307,29.49,E,3,31,1.72,7689.72
308,11.65,B,3,14,1.72,12069.24
309,15.4,C,5,30,1.72,10606.44
310,23.99,D,5,57,1.72,8586.96
311,17.69,C,3,5,1.72,876
312,18.24,C,5,29,1.72,10950.6
313,8.06,A,3,13,1.72,5347.08
314,18.99,C,3,39,1.72,4458.96
315,8.38,A,3,18,1.72,4309.68
316,8.66,A,3,9,1.72,3852.96
317,9.87,B,3,17,1.72,4313.4
318,15.29,C,3,26,1.72,3641.52
319,16.22,C,5,23,1.72,2208.48
320,10.9,B,3,6,1.72,3980.04
321,26.34,E,3,21,1.72,4920.96
322,24.99,D,3,44,1.72,5388.24
323,7.8,A,5,16,1.72,6198.48
324,7.51,A,3,41,1.72,7577.28
325,17.6,C,5,27,1.72,10802.76
326,5.98,AA,5,30,1.72,5556.24
327,11.03,B,3,28,1.72,5981.16
328,6.12,AA,5,26,1.72,2227.08
329,19.91,D,3,30,1.72,4967.04
330,6.2,A,5,21,1.72,2043.96
331,12.19,B,3,23,1.72,6081.36
332,29.45,HR,5,34,1.72,3842.88
333,10.7,B,3,18,1.72,3968.52
334,12.35,B,5,16,1.72,3250.8
335,14.72,C,3,43,1.72,5800.68
336,28.56,E,3,63,1.72,6078.36
337,22.44,E,3,12,1.72,2336.4
338,27.71,E,3,35,1.72,3030.24
339,25.99,E,3,20,1.72,5878.08
340,9.43,A,3,36,1.72,7792.68
341,23.05,D,5,18,1.72,9422.16
342,10.25,B,3,36,1.72,3942.84
343,15.3,C,3,26,1.72,4406.04
344,15.77,C,3,10,1.72,1705.8
345,9.05,A,5,16,1.72,5105.16
346,6.12,AA,3,14,1.72,7423.68
347,28.74,E,3,41,1.72,1015.44
348,16.45,C,5,30,1.72,4517.16
349,15.73,C,5,20,1.72,10377.24
350,16.97,C,3,17,1.72,10841.16
351,13.8,C,5,39,1.72,4148.04
352,8.06,A,5,36,1.72,7638.6
353,14.12,C,3,34,1.72,1717.44
354,22.99,D,5,51,1.72,7531.68
355,15.93,C,3,47,1.72,4274.16
356,10.7,B,5,33,1.72,4374.48
357,9.86,B,3,19,1.72,5881.08
358,22.05,D,3,57,1.72,8366.88
359,7.32,A,5,22,1.72,7556.16
360,4.7,AA,5,21,1.72,3634.32
361,24.9,E,3,47,1.72,7242.72
362,20.61,D,5,22,1.72,3287.76
363,25.62,E,3,5,1.72,3637.08
364,7.2,A,3,26,1.72,7542.84
365,24.74,D,5,47,1.72,4289.28
366,6.91,A,3,19,1.72,1276.8
367,11.1,B,3,18,1.72,2394.84
368,9.09,A,3,31,1.72,5815.68
369,8.46,A,3,15,1.72,3021.48
370,8.35,A,3,13,1.72,1188.96
371,19.91,D,5,37,1.72,5832.6
372,15.4,C,3,37,1.72,6363.84
373,9.67,B,5,28,1.72,5864.88
374,10.3,B,3,12,1.72,3945.72
375,30.92,HR,3,54,1.72,3915.96
376,9.86,B,5,19,1.72,6501.84
377,24.74,D,3,14,1.72,2409.12
378,12.65,B,5,63,1.72,4897.08
379,18.99,C,5,18,1.72,891.84
380,17.69,C,3,16,1.72,1533
381,30.92,HR,5,24,1.72,3915.96
382,8.74,A,5,29,1.72,3471.72
383,11.36,B,5,49,1.72,6009.6
384,12.19,B,5,8,1.72,2027.16
385,5.6,AA,5,18,1.72,8103.36
386,11.36,B,5,28,1.72,10015.92
387,20.66,D,5,38,1.72,5924.04
388,10.9,B,3,28,1.72,3994.92
389,29.49,E,5,14,1.72,4310.52
390,13.97,C,3,28,1.72,831.6
391,15.29,C,3,31,1.72,4236
392,24.9,E,5,9,1.72,4828.44
393,9.67,B,5,13,1.72,2697.84
394,11.65,B,3,26,1.72,4023.12
395,5.9,AA,3,26,1.72,1109.88
396,8.66,A,3,43,1.72,5779.44
397,6.9,A,3,16,1.72,3641.16
398,22.99,D,5,27,1.72,3765.84
399,9.43,A,5,42,1.72,5844.48
400,17.78,C,5,32,1.72,4647.48
401,7.7,A,3,15,1.72,3710.4
402,23.88,E,3,26,1.72,4216.44
403,17.61,D,3,17,1.72,4375.08
404,9.47,A,3,50,1.72,5847.84
405,30.92,HR,3,27,1.72,1305.36
406,22.05,D,5,18,1.72,3386.28
407,22.05,D,3,37,1.72,6772.56
408,22.12,D,3,41,1.72,10173.36
409,10.59,B,5,29,1.72,3966.84
410,7.6,A,3,17,1.72,5690.52
411,12.75,C,5,41,1.72,2247.72
412,22.05,D,3,37,1.72,3718.68
413,7.96,A,3,13,1.72,4479.6
414,30.24,E,3,43,1.72,5961.48
415,11.36,B,3,35,1.72,801.24
416,9.3,B,3,34,1.72,1944.48
417,14.97,C,3,55,1.72,12651.24
418,9.47,B,3,22,1.72,7797.24
419,18.73,D,3,24,1.72,2221.56
420,8.7,A,3,13,1.72,2505.84
421,4.32,AA,5,27,1.72,3613.8
422,11.03,B,5,9,1.72,5981.16
423,11.31,B,5,27,1.72,4804.2
424,10.3,B,5,15,1.72,2889.84
425,7.51,A,3,28,1.72,5682.96
426,14.15,C,3,22,1.72,3408.48
427,14.8,C,3,16,1.72,8414.04
428,10.7,B,3,21,1.72,1855.8
429,17.78,C,3,47,1.72,6785.4
430,24.74,D,3,35,1.72,7148.76
431,28.56,E,5,32,1.72,7597.92
432,5.98,AA,3,45,1.72,5556.24
433,28.75,HR,5,7,1.72,3808.32
434,19.91,D,3,41,1.72,2709.24
435,6.66,A,5,15,1.72,4864.08
436,16.22,C,3,29,1.72,2996.52
437,4.32,AA,3,13,1.72,7227.6
438,11.1,B,5,34,1.72,6019.68
439,18.99,C,3,31,1.72,5721.48
440,9.49,B,3,14,1.72,5849.64
441,16.04,C,5,56,1.72,4477.32
442,26.2,E,5,19,1.72,2391.12
443,8.06,A,5,30,1.72,6683.76
444,4.32,AA,3,7,1.72,3216.24
445,11.65,B,5,17,1.72,4063.32
446,25.59,E,3,33,1.72,7308.96
447,14.05,C,3,13,1.72,7144.8
448,15.29,C,5,11,1.72,4236
449,12.99,C,3,40,1.72,3403.56
450,8.7,A,3,33,1.72,3798
451,21.48,D,3,22,1.72,3459.48
452,12.19,B,5,29,1.72,3243.36
453,12.65,B,3,7,1.72,6121.44
454,5.98,AA,3,16,1.72,9260.4
455,13.75,C,3,27,1.72,7097.64
456,8.74,A,3,15,1.72,5068.68
457,23.99,D,3,40,1.72,8803.68
458,9.05,A,5,24,1.72,4594.68
459,6.74,A,3,29,1.72,6742.8
460,10.25,B,3,41,1.72,3942.84
461,19.99,D,5,30,1.72,2758.92
462,9.1,B,3,50,1.72,8143.2
463,28.74,E,3,59,1.72,6092.52
464,20.66,D,3,38,1.72,3291.12
465,19.43,D,3,24,1.72,3208.08
466,28.74,E,3,48,1.72,7564.92
467,25.59,E,3,35,1.72,2180.88
468,15.4,C,3,33,1.72,10606.44
469,10.7,B,3,42,1.72,8135.52
470,16.22,C,5,23,1.72,6052.92
471,16.45,C,3,35,1.72,4305.24
472,11.36,B,3,34,1.72,3285.24
473,9.43,A,3,15,1.72,4091.16
474,11.64,B,3,31,1.72,4022.52
475,6.51,AA,3,8,1.72,2986.68
476,30.92,HR,3,52,1.72,3915.96
477,21.42,D,3,25,1.72,4345.92
478,13.75,C,3,44,1.72,14508.12
479,8.66,A,3,4,1.72,4623.48
480,13.69,C,5,16,1.72,2977.08
481,9.05,A,3,21,1.72,2712.36
482,6.74,A,5,18,1.72,5619
483,6.91,A,3,5,1.72,751.08
484,18.73,D,3,24,1.72,4443.12
485,16.89,C,3,44,1.72,8663.28
486,12.65,B,5,26,1.72,2216.4
487,10.2,B,3,21,1.72,5122.08
488,11.64,B,3,15,1.72,8045.04
489,13.97,C,3,48,1.72,10395.24
490,15.93,C,5,34,1.72,1488.84
491,30.28,HR,3,41,1.72,3884.04
492,10.2,B,3,30,1.72,5910
493,19.43,D,5,19,1.72,4170.48
494,15.4,C,5,22,1.72,6363.84
495,6.9,A,3,29,1.72,1802.28
496,20.54,D,3,33,1.72,910.92
497,12.65,B,5,25,1.72,6926.16
498,21.42,D,3,18,1.72,3342.96
499,30.92,HR,5,24,1.72,3915.96
500,6.12,AA,3,10,1.72,4305.72
501,23.74,D,5,44,1.72,1401.6
502,9.05,A,5,31,1.72,4594.68
503,9.67,B,3,24,1.72,9774.84
504,13.14,C,5,22,1.72,3903.96
505,30.53,HR,3,32,1.72,3896.4
506,13.76,C,5,18,1.72,4974.84
507,7.2,A,3,25,1.72,4676.64
508,9.86,B,3,14,1.72,1960.32
509,8.06,A,3,11,1.72,1909.68
510,18.99,C,3,35,1.72,891.84
511,4.7,AA,5,32,1.72,4361.16
512,22.05,D,3,38,1.72,9296.64
513,9.86,B,3,15,1.72,784.08
514,13.64,C,3,20,1.72,4138.68
515,12.71,C,5,6,1.72,5271
516,29.49,E,3,18,1.72,3526.8
517,7.2,A,3,49,1.72,7542.84
518,8.7,A,3,18,1.72,8861.88
519,20.85,D,5,45,1.72,11433.84
520,18.99,C,5,21,1.72,4458.96
521,19.91,D,3,33,1.72,4515.48
522,12.71,C,5,52,1.72,4084.44
523,29.49,E,3,25,1.72,3918.6
524,22.05,D,3,17,1.72,4063.56
525,17.61,D,3,24,1.72,6174.36
526,25.99,E,3,59,1.72,7347.6
527,18.14,C,5,36,1.72,3122.16
528,7.51,A,3,17,1.72,11366.04
529,12.19,B,3,35,1.72,7297.68
530,15.59,C,3,45,1.72,8507.76
531,30.92,HR,3,39,1.72,3393.84
532,6.12,AA,5,11,1.72,5196.6
533,13.69,C,5,44,1.72,8505.96
534,17.6,C,3,25,1.72,10802.76
535,19.91,D,3,31,1.72,903.12
536,8.42,A,3,16,1.72,3839.52
537,6.91,A,3,19,1.72,3004.32
538,22.1,D,3,34,1.72,3489.48
539,26.95,E,3,31,1.72,1984.2
540,25.99,E,3,51,1.72,7347.6
541,10.25,B,5,20,1.72,1182.84
542,9.1,B,3,25,1.72,7755.36
543,12.19,B,3,22,1.72,5676
544,12.75,C,3,23,1.72,10216.92
545,14.15,C,3,28,1.72,2577.84
546,16.7,C,3,20,1.72,4320.24
547,6.36,AA,3,25,1.72,5587.56
548,11.03,B,3,27,1.72,2671.2
549,26.34,E,5,32,1.72,7381.44
550,26.34,E,5,19,1.72,2952.6
551,28.74,E,3,33,1.72,5077.08
552,6.74,A,5,47,1.72,4495.2
553,30.53,HR,5,14,1.72,2285.88
554,10.59,B,3,22,1.72,3367.92
555,8.74,A,3,22,1.72,3801.48
556,6.51,AA,3,18,1.72,7466.64
557,10.7,B,3,31,1.72,3135.12
558,16.97,C,5,23,1.72,1827.12
559,18.24,C,5,41,1.72,6619.92
560,6.51,AA,3,28,1.72,4479.96
561,18.28,D,5,63,1.72,8831.4
562,5.9,AA,5,36,1.72,5549.64
563,30.92,HR,3,45,1.72,1566.36
564,13.14,C,3,31,1.72,4201.32
565,27.93,E,3,23,1.72,5024.16
566,10.2,B,5,13,1.72,6552.72
567,5.9,AA,3,29,1.72,5549.64
568,14.93,C,5,9,1.72,2913.72
569,26.34,E,3,9,1.72,3688.68
570,22.1,D,3,13,1.72,4651.44
571,6.91,A,3,14,1.72,2628.72
572,30.82,HR,3,13,1.72,3910.92
573,29.49,E,5,25,1.72,5126.4
574,27.71,E,3,31,1.72,7514.64
575,27.71,E,5,19,1.72,5681.76
576,10.25,B,5,35,1.72,3942.84
577,6.51,AA,3,25,1.72,2613.36
578,5.9,AA,3,11,1.72,7399.56
579,17.61,D,3,35,1.72,4630.8
580,30.82,HR,3,44,1.72,3910.92
581,7.2,A,5,37,1.72,5657.16
582,17.78,C,3,38,1.72,5267.16
583,8.35,A,3,26,1.72,5753.28
584,20.85,D,3,41,1.72,8260.08
585,5.9,AA,5,12,1.72,7399.56
586,5.3,AA,3,15,1.72,11000.88
587,30.25,HR,5,57,1.72,3882.48
588,12.65,B,3,12,1.72,4080.96
589,22.05,D,3,9,1.72,6772.56
590,4.32,AA,5,21,1.72,5312.28
591,5.13,AA,3,30,1.72,3657.72
592,18.73,D,3,30,1.72,3554.52
593,25.31,E,3,25,1.72,4854.72
594,12.65,B,3,19,1.72,4155.72
595,26.99,E,5,64,1.72,7444.44
596,9.47,A,3,27,1.72,3898.56
597,11.1,B,3,22,1.72,5987.16
598,10.25,B,3,28,1.72,8674.32
599,20.85,D,5,19,1.72,3304.08
600,5.13,AA,3,5,1.72,1097.28
601,29.49,E,5,39,1.72,7689.72
602,14.45,C,3,30,1.72,10091.28
603,14.97,C,5,24,1.72,2916.24
604,5.13,AA,3,16,1.72,12801.96
605,13.43,C,3,26,1.72,1691.4
606,7.6,A,3,18,1.72,2655.6
607,17.61,D,5,34,1.72,4013.28
608,9.09,A,3,14,1.72,1550.88
609,5.98,AA,5,34,1.72,7037.88
610,30.09,HR,3,24,1.72,1549.8
611,30.06,HR,3,61,1.72,3873.12
612,22.05,D,5,44,1.72,6972.48
613,8.06,A,3,44,1.72,10694.04
614,9.09,A,3,27,1.72,2558.88
615,27.8,E,3,42,1.72,7523.4
616,14.45,C,5,25,1.72,10091.28
617,19.13,D,3,47,1.72,5738.28
618,12.65,B,3,35,1.72,5713.32
619,30.92,HR,3,25,1.72,2871.72
620,21.48,D,3,21,1.72,4016.52
621,16.55,C,5,51,1.72,8622.48
622,12.19,B,3,4,1.72,1621.68
623,5.9,AA,3,29,1.72,2885.76
624,11.1,B,3,30,1.72,1197.48
625,17.15,C,3,41,1.72,6114
626,9.43,A,3,23,1.72,5150.16
627,10.59,B,3,39,1.72,3843.36
628,24.08,E,5,20,1.72,5291.64
629,28.74,E,3,34,1.72,772.68
630,15.72,C,3,47,1.72,5335.68
631,11.03,B,3,14,1.72,2392.44
632,9.47,A,3,28,1.72,3118.92
633,9.47,A,5,26,1.72,5847.84
634,14.8,C,5,13,1.72,5810.88
635,22.05,D,5,29,1.72,2788.92
636,22.99,D,5,44,1.72,3765.84
637,5.13,AA,3,19,1.72,3657.72
638,13.25,C,3,42,1.72,7805.64
639,18.81,C,5,25,1.72,2849.88
640,19.95,D,3,30,1.72,6486
641,7.6,A,3,18,1.72,2591.16
642,8.06,A,3,42,1.72,7638.6
643,22.05,D,5,19,1.72,1354.56
644,26.34,E,3,10,1.72,1968.36
645,30.92,HR,3,48,1.72,2610.6
646,9.09,A,5,13,1.72,3101.76
647,19.91,D,3,5,1.72,6773.16
648,12.15,B,3,43,1.72,10129.92
649,9.09,A,3,36,1.72,5815.68
650,19.13,D,3,24,1.72,4781.88
651,5.9,AA,3,46,1.72,9249.36
652,11.03,B,5,37,1.72,5981.16
653,19.99,D,3,30,1.72,7910.64
654,17.78,C,5,13,1.72,9295.08
655,8.06,A,3,8,1.72,1145.76
656,26.99,E,5,51,1.72,5459.28
657,11.64,B,3,11,1.72,4827
658,9.47,B,3,19,1.72,5154.96
659,5.76,AA,3,16,1.72,7384.2
660,8.35,A,5,32,1.72,3835.56
